shareHolderCode,shareHolderName,stocks,avg_1_Week_Return,avg_1_Month_Return,avg_3_Month_Return,avg_6_Month_Return,avg_1_Year_Return,count_1_Week_Return,count_1_Month_Return,count_3_Month_Return,count_6_Month_Return,count_1_Year_Return
22041,شرکت بیمه نوین-سهامی عام-,تنوین,0.012312170426638852,-0.07786272853981457,-0.0692097504519026,-0.08324101736169495,0.03879182207102837,11,11,10,10,8
45273,شرکت تامین آتیه درخشان نوین-سهامی خاص-,تنوین,,,,,,3,3,3,3,3
45483,شرکت اعتباری ملل-سهامی عام-,تنوین,0.0016094760198763893,0.012927376957610124,-0.13071335042550603,-0.16924603404183503,-0.25534039981244105,36,36,36,36,36
45855,ifmصندوق سرمایه گذاری بازارگردانی نوین پیشرو,تنوین,-0.004588017091854761,-0.04527634669051321,-0.16500041110918864,-0.21271889887060533,-0.2655409047356361,331,330,330,299,238
970,شرکت توزیع نیروی برق تهران بزرگ-سهامی خاص-,بنیرو,,,,,,1,1,1,1,0
22398,صندوق سرمایه گذاری مشترک ارزش کاوان آینده,بنیرو,0.029153945667165507,0.10932717133937589,0.2762999692518525,0.6931322668480767,0.5036049268325875,69,69,69,69,57
71392,صندوق سرمایه گذاری ارزش کاوان ایرانیان,بنیرو,0.014125484902110715,0.07847098251529872,0.29951524465837737,0.723699167360345,0.5777889614472084,25,25,25,25,19
71397,صندوق سرمایه گذاری ارزش کاوان ایرانیان,بنیرو,0.012333495434775233,0.06291245632646937,0.18340734755571886,0.6560547816082051,0.6358384673032849,11,11,11,11,10
71398,صندوق سرمایه گذاری ارزش کاوان ایرانیان,بنیرو,0.011379791448368507,0.05274109207501229,0.1951545264524846,0.6007638490537948,0.6052256127945748,11,11,11,11,10
42064,صندوق سرمایه گذاری مشترک امیدتوسعه,حسیر,0.050466453987488294,0.17141792254542093,0.7595860758741325,0.6455100112686214,0.16113419445402755,90,90,90,90,90
42276,شرکت صندوق ضمانت صادرات ایران-سهامی خاص-,حسیر,,,,,,2,2,2,2,2
42528,صندوق سرمایه گذاری پاداش سرمایه بهگزین,حسیر,-0.0697955890263583,-0.10758880940563895,-0.23892865528012153,-0.3761134424436592,,4,4,4,4,1
42937,شرکت توسعه طلوع تجارت خلیج فارس-سهامی خاص-,حسیر,0.011177425444467969,0.010628734016313257,0.0891774982174077,-0.0715851279011388,-0.26360394978158863,36,36,32,26,20
48283,شرکت تک زراندیشان نوآور-سهامی خاص-,حسیر,0.015519533357847863,0.1286324489882309,0.4619218977180671,0.2042229991721231,0.13325257507638624,51,51,48,43,41
69842,prxسبد-شرک15835--شرک14909-,حسیر,,,,,,2,2,2,2,2
69845,prxسبد-شرک15835--شرک14909-,حسیر,,,,,,3,3,3,3,3
70065,bfmصندوق سرمایه گذاری.ا.ب.یکم هامرز,حسیر,-0.006992785994275095,-0.041052074041309096,-0.0644597752895923,-0.18391085655768075,-0.20077402996113525,155,154,149,130,88
70378,شرکت راهبرسیرسمنگان-سهامی خاص-,حسیر,0.012061535172775617,-0.011100169966895113,-0.19017703608822933,-0.1530871529964006,-0.36546672548041675,29,29,29,28,12
70523,شخص حقیقی,حسیر,,,,,,1,1,1,1,1
70941,prxسبد-شرک37608--شرک14909-,حسیر,,,,,,1,1,1,1,1
71283,prxسبد-شرک15835--شرک46793-,حسیر,0.029240719101936236,0.05789342072758914,0.060739285569734444,-0.023927157128094817,-0.20574619627419516,8,8,8,8,8
71427,prxسبد-شرک15835--شرک70090-,حسیر,,,,,,1,1,1,1,1
71432,prxسبد-شرک15835--شرک70090-,حسیر,,,,,,1,1,1,1,1
71433,prxسبد-شرک15835--شرک70090-,حسیر,,,,,,1,1,1,1,1
71452,bfmصندوق.س.اختصاصی بازارگردانی تثبیت پاداش,حسیر,0.0030847611088865466,-0.024822401386912104,-0.03056630953817505,-0.04463576864636673,-0.24249995361504934,30,27,19,9,5
71453,bfmصندوق.س.اختصاصی بازارگردانی تثبیت پاداش,حسیر,0.005936974774463209,-0.07692695268248088,-0.08207476520560167,-0.20846286419774324,,24,23,21,10,3
